Reporting Name,Accession Number,Issuer Name,Relationship of Reporting Person to Issuer,Transaction with Derivative (D) or Non-Derivative (N) Securities,Non-Derivative Securities: Title,Non-Derivative Securities: Transaction Code,Non-Derivative Securities: Amount (shares),Non-Derivative Securities: Price (per share),Non-Derivative Securities: Acquired (A) or Disposed Of (D),Non-Derivative Securities: Ownership Form: Direct (D) or Indirect (I),Derivative Securities: Title,Derivative Securities: Transaction Code,Derivative Securities: Amount (shares),Derivative Securities: Price (per share),Derivative Securities: Acquired (A) or Disposed Of (D),Derivative Securities: Ownership Form: Direct (D) or Indirect (I),Year,Month,Day,Time
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,5985,234.68,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,109,234.68,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,19438,235.52,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,355,235.52,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,21644,236.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,395,236.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,20623,237.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,377,237.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,17212,238.47,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,314,238.47,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,4710,239.49,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,86,239.49,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,97136,240.18,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1774,240.18,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,24276,241.56,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,443,241.56,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,19306,242.33,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,353,242.33,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,64895,243.60,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1187,243.60,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,82935,244.24,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1516,244.24,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,54865,245.51,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1002,245.51,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,34290,246.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,626,246.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,12054,247.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital Advisors, LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,220,247.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,589,233.65,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,11,233.65,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,5985,234.68,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,109,234.68,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,19438,235.52,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,355,235.52,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,21644,236.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,395,236.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,20623,237.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,377,237.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,17212,238.47,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,314,238.47,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,4710,239.49,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,86,239.49,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,97136,240.18,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1774,240.18,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,24276,241.56,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,443,241.56,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,19306,242.33,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,353,242.33,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,64895,243.60,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1187,243.60,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,82935,244.24,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1516,244.24,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,54865,245.51,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1002,245.51,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,34290,246.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,626,246.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,12054,247.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Qualified Master Fund LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,220,247.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,589,233.65,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,11,233.65,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,5985,234.68,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,109,234.68,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,19438,235.52,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,355,235.52,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,21644,236.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,395,236.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,20623,237.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,377,237.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,17212,238.47,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,314,238.47,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,4710,239.49,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,86,239.49,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,97136,240.18,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1774,240.18,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,24276,241.56,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,443,241.56,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,19306,242.33,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,353,242.33,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,64895,243.60,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1187,243.60,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,82935,244.24,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1516,244.24,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,54865,245.51,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,1002,245.51,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,34290,246.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,626,246.44,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,12054,247.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Abdiel Capital LP",000089924321003771,"APPIAN CORP",T ,N,"Class A Common Stock",S,220,247.45,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:21:18
"Knutzen Jonathan",000110465921009591,"Palomar Holdings, Inc.",O ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Employee Stock Option (Right to Buy)",A,1422,0,A,D,2021,01,29,21:00:15
"Knutzen Jonathan",000110465921009591,"Palomar Holdings, Inc.",O ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Restricted Stock Units",A,1113,0,A,D,2021,01,29,21:00:15
"Adams Brian",000120919121006365,"Relay Therapeutics, Inc.",O ,N,"Common Stock",M,5000,4.12,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:00:09
"Adams Brian",000120919121006365,"Relay Therapeutics, Inc.",O ,N,"Common Stock",S,5000,55.05,D,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:00:09
"Adams Brian",000120919121006365,"Relay Therapeutics, Inc.",O ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Stock Option (Right to Buy)",M,5000,0.00,D,D,2021,01,29,21:00:09
"Bitzer Marc R",000010664021000007,"WHIRLPOOL CORP /DE/",D O ,N,"Common",M,25821,138.56,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:57:28
"Bitzer Marc R",000010664021000007,"WHIRLPOOL CORP /DE/",D O ,N,"Common",S,20058,210.43,D,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:57:28
"Bitzer Marc R",000010664021000007,"WHIRLPOOL CORP /DE/",D O ,N,"Common",S,4442,211.45,D,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:57:28
"Bitzer Marc R",000010664021000007,"WHIRLPOOL CORP /DE/",D O ,N,"Common",S,1321,212.42,D,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:57:28
"Bitzer Marc R",000010664021000007,"WHIRLPOOL CORP /DE/",D O ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Employee Stock Option (Right to Buy)",M,25821,0,D,D,2021,01,29,20:57:28
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,N,"Common Stock",S,3808,82.0988,D,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,N,"Common Stock",M,3750,6.75,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,N,"Common Stock",F,316,80.18,D,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,N,"Common Stock",M,5000,8.62,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,N,"Common Stock",F,538,80.18,D,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,N,"Common Stock",M,3750,14.50,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,N,"Common Stock",F,678,80.18,D,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,N,"Common Stock",M,4000,34.23,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,N,"Common Stock",F,1708,80.18,D,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,N,"Common Stock",S,13260,79.2477,D,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Stock Option (Right to Buy)",M,3750,0,D,D,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Stock Option (Right to Buy)",M,5000,0,D,D,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Stock Option (Right to Buy)",M,3750,0,D,D,2021,01,29,20:55:43
"Paglia John Kenneth",000168316821000327,"SIMULATIONS PLUS INC",D ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Stock Option (Right to Buy)",M,4000,0,D,D,2021,01,29,20:55:43
"Lamb Mark D",000162828021001199,"CareTrust REIT, Inc.",O ,N,"Common Stock",A,40500,0,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:41:28
"Wagner William M",000162828021001198,"CareTrust REIT, Inc.",O ,N,"Common Stock",A,47022,0,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,20:41:11
